Stops,Website,Booked_on,Destination,Depart_date,Airline,Price
3,Tickets.ru,2/2/22,SSH,9/24/22,W6,Average
3,Tickets.ru,2/4/22,GOA,7/24/22,W9,Average
3,Tickets.ru,2/4/22,OSR,5/7/22,N4,Average
3,KupiBilet.ru,2/4/22,LPA,8/3/22,VY,Average
3,Tickets.ru,2/2/22,CFN,2/21/22,A3,Average
3,Kissandfly,2/3/22,HRG,9/26/22,U2,Average
3,Tickets.ru,2/4/22,RBA,7/14/22,W6,Average
3,Tickets.ru,2/5/22,NTE,5/28/22,W6,Average
3,KupiBilet.ru,2/8/22,TNG,2/21/22,A3,Average
3,KupiBilet.ru,2/3/22,PXO,2/28/22,A3,Average
3,Tickets.ru,2/4/22,TAT,3/5/22,FR,Average
3,Tickets.ru,2/4/22,VGO,4/9/22,SU,Average
3,OneTwoTrip,2/7/22,AES,4/1/22,W6,Average
3,OneTwoTrip,2/3/22,CDT,4/10/22,W6,Average
3,SuperSaver,2/8/22,IXM,3/10/22,5W,Average
3,KupiBilet.ru,2/8/22,OHD,2/21/22,A3,Average
3,Tickets.ru,2/5/22,IXE,3/4/22,5W,Average
3,OneTwoTrip,2/6/22,KZO,7/21/22,5W,Average
3,OneTwoTrip,2/4/22,GUW,5/15/22,5W,Average
3,Clickavia,2/8/22,DAC,2/26/22,5W,Average
3,Mytrip.com,2/4/22,CJB,2/25/22,5W,Average
3,KupiBilet.ru,2/8/22,FLW,3/27/22,A3,Average
3,SuperSaver,2/5/22,HBX,3/2/22,5W,Expensive
3,Tickets.ru,2/5/22,PNL,2/25/22,S7,Expensive
3,SuperSaver,2/6/22,TRZ,3/1/22,5W,Expensive
3,Kissandfly,2/2/22,CZL,5/14/22,W6,Expensive
3,SuperSaver,2/7/22,IXM,2/23/22,5W,Expensive
3,Tickets.ru,2/4/22,NBE,9/15/22,W6,Expensive
3,Tickets.ru,2/4/22,ALG,8/13/22,W6,Expensive
3,Kissandfly,2/3/22,FMO,5/14/22,W6,Expensive
3,KupiBilet.ru,2/2/22,SPC,8/1/22,FR,Expensive
3,Tickets.ru,2/4/22,CZL,4/14/22,S7,Expensive
3,Tickets.ru,2/2/22,CFE,8/27/22,W6,Expensive
3,Tickets.ru,2/2/22,TER,8/13/22,W6,Expensive
3,Aviakassa,2/9/22,GOI,10/1/22,EY,Expensive
